Comment,Designator,Footprint
,0X76,SJ
TPPAD1-13,3V,P1-13
TPPAD1-13,5V,P1-13
TPPAD1-13,12V,P1-13
2.1MMJACKSMT,12V_IN,DCJACK_2MM_SMT
DF51-4POS,ANALOG1,DF51-4POS
DF51-4POS,ANALOG2,DF51-4POS
cr1220,B2,CR1220-2
,BUTTON,JST-PH2
100nF,C1,C0805
100nF,C2,C0805
0.1uF,C3,C0805
100nF,C5,C0805
100nF,C6,C0805
150pF,C7,C0805
100nF,C8,C0805
100nF,C9,C0805
100nF,C10,C0805
470uF,C11,140CLH-0810
100nF,C12,C0805
100nF,C13,C0805
100nF,C14,C0805
470uF,C15,140CLH-0810
150pF,C16,C0805
100nF,C17,C0805
100nF,C18,C0805
100nF,C20,C0805
100nF,CBOOT,C0805
10uF,CIN,C0805
10uF,CIN1,C0805
10uF,CIN2,C0805
47uF,COUT,C0805
1N4148W,D2,SOD-123_MINI-SMA
NSR0320MW2T1G,D3,SOD323_ST
SMAJ60A,D4,DO_214
SMAJ60A,D5,DO_214
Motor H-Bridge,DRV8871,SOP8
Latch H,DRV8871-2,SOP8
TPPAD1-13,GND,P1-13
TPPAD1-13,GND1,P1-13
DF51-4POS,I2C_3V,DF51-4POS
DF51-4POS,I2C_5V,DF51-4POS
PJS008U-3000-0,J1,CONN_PJS008U-3000-0_YAM
MEM2051-00-195-00-A,J2,GCT_MEM2051-00-195-00-A
10UH 2.7A ,L1,WE-MAPI_40XX
LB3218T1R0M,L3,INDC3218X200N
2.5MM_JST_UP_2POS,LED,JST_2POS_2.5MM_UP
Yellow,LED1,CHIPLED_0805
RED,LED2,CHIPLED_0805
FEATHERWING,MS1,FEATHERWING
FDMS86101,NMOS,8-POWERTDFN
,NOTGATE1,SOT753
,NOTGATE2,SOT753
DMP3099L-7,PMOS1,SOT-23-3
DMP3099L-7,PMOS2,SOT-23-3
DMP3056LDM-7,PMOS3,SOT23-6
DF51-4POS,PRESSURE,DF51-4POS
MS580302BA01-00,PRESSURE_SENSOR,MS5803-02BA01
130mA/20V,P_MOS,SOT23-3
DMN65D8L-7,Q1,SOT23-S
DMN65D8L-7,Q2,SOT23-S
DMN65D8L-7,Q3,SOT23-S
1M,R1,R0805
300k,R2,R0805
10K,R3,R0805
3k,R4,R0805
10K,R5,R0805
30k,R6,RES_1206
100k,R7,RES_1206
100k,R8,RES_1206
10K,R9,R0805
30K,R10,R0805
6.2k,R11,R0805
20K,R12,R0805
20K,R13,R0805
32K,R14,R0805
32K,R15,R0805
10K,R16,R0805
10K,R17,R0805
30k,R18,RES_1206
10K,R19,R0805
10K,R20,R0805
100k,R21,RES_1206
10K,R22,R0805
10K,R23,R0805
1K,RGND,R0805
DS3231SNT&R,RTC,21-0042B_16
2MM_JST_PH_5POS,SWITCH,2MM_5POS_HEADER
TPIC6B596,TPIC0,DIP20
TPIC6B596,TPIC1,DIP20
TPIC6B596,TPIC2,DIP20
TPIC6B596,TPIC3,DIP20
Motor Push In,U$2,3.5MM_DIP2
DF51K-26DP-2DS,U$4,DF51K-26DP-2DS-ANGLE
DF51K-14DP-2DS,U$5,DF51K-14DP-2DS-ANGLE
LTC4372,U$7,SOP65P640X120-8N
TXS0108EPWR,U1,SOP65P640X120-20N
BUCK_REGULATORS,VREG,SOT23-6@1
